# package	# repo	category	nixpkgs attr	description
# ---------------------------------------------------------------------------
# Arch Linux equivalents of nixos-packages.tsv.
#
# Fields are tab-delimited. Column 1 = pacman/AUR package name.
# Everything after column 1 is prefixed with '#' so lines are shell-safe:
#   cut -f1 arch-packages.tsv | grep -v '^#' | xargs -r yay -S --needed
#
# Repo column values:
#   core      official [core] repo
#   extra     official [extra] repo ([community] was merged into it in 2023)
#   multilib  official [multilib] repo; must be uncommented in /etc/pacman.conf
#   AUR       Arch User Repository; needs yay (install.d/yay.sh)
#   none      no Arch equivalent - the line is commented out
#
# NOTE: Arch has no "main" repo - the base repo is [core].
# Resolved against the core/extra sync DBs and the AUR RPC.
# ---------------------------------------------------------------------------

# === boot / console ========================================================
terminus-font	# extra	boot	terminus_font	Bitmap console font (ter-132n) for the TTY
linux	# core	boot	linuxPackages_latest	Latest mainline kernel package set [Arch ships mainline as 'linux'; linux-lts is the LTS option]
plymouth-themes-adi1090x-git	# AUR	boot	adi1090x-plymouth-themes	Plymouth boot splash themes (built with only the 'lone' theme)
plymouth	# extra	boot	plymouth	Graphical boot splash daemon
systemd	# core	boot	systemd-boot	EFI bootloader (enabled via boot.loader.systemd-boot) [part of the systemd package, not standalone]
edk2-ovmf	# extra	boot	OVMF	UEFI firmware; symlinked to /usr/share/OVMF for Claude Cowork [Arch name is edk2-ovmf]
virtiofsd	# extra	virt	virtiofsd	virtio-fs daemon; symlinked to /usr/libexec for Claude Cowork

# === shell / CLI ===========================================================
zsh	# extra	shell	zsh	Z shell; login shell for user dtd
bash	# core	shell	bash	Bash shell, configured via home-manager
starship	# extra	shell	starship	Fast, customizable cross-shell prompt
zoxide	# extra	shell	zoxide	Smarter cd that learns frequently used directories
fzf	# extra	shell	fzf	Command-line fuzzy finder
bat	# extra	cli	bat	cat clone with syntax highlighting and git integration
lsd	# extra	cli	lsd	Modern ls replacement with icons and colors
tree	# extra	cli	tree	Recursive directory listing as a tree
ripgrep	# extra	cli	ripgrep	Fast recursive grep alternative (rg)
jq	# extra	cli	jq	Command-line JSON processor
curl	# core	cli	curl	Transfer data via URLs
wget	# extra	cli	wget	Command-line file downloader
gettext	# core	cli	envsubst	Environment-variable substitution in text (gettext) [provided by gettext]
gzip	# core	cli	gzip	GNU compression utility
unzip	# extra	cli	unzip	ZIP archive extractor
stow	# extra	cli	stow	Symlink farm manager for dotfiles
tmux	# extra	cli	tmux	Terminal multiplexer
ncdu	# extra	cli	ncdu	NCurses disk usage analyzer
btop	# extra	cli	btop	Resource monitor (CPU/mem/disk/net)
inotify-tools	# extra	cli	inotify-tools	Filesystem event monitoring utilities
yazi	# extra	cli	yazi	Fast terminal file manager
imagemagick	# extra	cli	imagemagick	Image manipulation toolkit (convert/magick)
claude-code	# AUR	cli	claude-code	Anthropic Claude Code CLI agent

# === editors ===============================================================
neovim	# extra	editor	neovim	Extensible terminal text editor (default $EDITOR)
vim	# extra	editor	vim	Classic terminal text editor
# nix-ld	# none	editor	nix-ld	Dynamic-linker shim so Mason can install stylua in Neovim [NixOS-specific shim; unnecessary on Arch, which has a standard FHS dynamic linker]

# === terminals =============================================================
ghostty	# extra	terminal	ghostty	GPU-accelerated terminal emulator
kitty	# extra	terminal	kitty	GPU-accelerated terminal emulator
xdg-terminal-exec	# AUR	terminal	xdg-terminal-exec	XDG default-terminal launcher spec implementation

# === wayland / hyprland ====================================================
hyprland	# extra	wayland	hyprland	Wayland tiling compositor (XWayland enabled)
xorg-xwayland	# extra	wayland	xwayland	X11 compatibility server for Wayland [Arch name is xorg-xwayland]
